rank:101 |send count:4 | recv count: 4 |total Time:3.804507 |compute Time:0.000009 |commuTime:3.335357|IO Time:0.000000
rank:32 |send count:5 | recv count: 5 |total Time:3.805666 |compute Time:0.000007 |commuTime:3.653631|IO Time:0.000000
rank:106 |send count:9 | recv count: 9 |total Time:3.797362 |compute Time:0.000013 |commuTime:3.317193|IO Time:0.000000
rank:33 |send count:6 | recv count: 6 |total Time:3.805745 |compute Time:0.000007 |commuTime:3.645290|IO Time:0.000000
rank:107 |send count:13 | recv count: 10 |total Time:3.797438 |compute Time:0.000009 |commuTime:3.308327|IO Time:0.000000
rank:44 |send count:5 | recv count: 5 |total Time:3.804063 |compute Time:0.000010 |commuTime:3.599359|IO Time:0.000000
rank:113 |send count:7 | recv count: 7 |total Time:3.803649 |compute Time:0.000009 |commuTime:3.280293|IO Time:0.000000
rank:56 |send count:6 | recv count: 6 |total Time:3.806104 |compute Time:0.000010 |commuTime:3.544237|IO Time:0.000000
rank:124 |send count:4 | recv count: 4 |total Time:3.805103 |compute Time:0.000010 |commuTime:3.234905|IO Time:0.000000
rank:63 |send count:7 | recv count: 7 |total Time:3.793857 |compute Time:0.000008 |commuTime:3.507292|IO Time:0.000000
rank:131 |send count:5 | recv count: 5 |total Time:3.793985 |compute Time:0.000008 |commuTime:3.197934|IO Time:0.000000
rank:68 |send count:10 | recv count: 10 |total Time:3.802621 |compute Time:0.000011 |commuTime:3.488923|IO Time:0.000000
rank:143 |send count:12 | recv count: 12 |total Time:3.795815 |compute Time:0.000009 |commuTime:3.144037|IO Time:0.000000
rank:74 |send count:6 | recv count: 6 |total Time:3.796011 |compute Time:0.000009 |commuTime:3.462177|IO Time:0.000000
rank:149 |send count:9 | recv count: 9 |total Time:3.803446 |compute Time:0.000014 |commuTime:3.116136|IO Time:0.000000
rank:80 |send count:19 | recv count: 20 |total Time:3.806365 |compute Time:0.000015 |commuTime:3.434947|IO Time:0.000000
rank:172 |send count:5 | recv count: 5 |total Time:3.803883 |compute Time:0.000016 |commuTime:3.013919|IO Time:0.000000
rank:86 |send count:6 | recv count: 6 |total Time:3.794049 |compute Time:0.000007 |commuTime:3.408117|IO Time:0.000000
rank:185 |send count:7 | recv count: 7 |total Time:3.806090 |compute Time:0.000012 |commuTime:2.950068|IO Time:0.000000
rank:92 |send count:9 | recv count: 9 |total Time:3.803686 |compute Time:0.000009 |commuTime:3.380287|IO Time:0.000000
rank:190 |send count:6 | recv count: 6 |total Time:3.795744 |compute Time:0.000013 |commuTime:2.931266|IO Time:0.000000
rank:93 |send count:4 | recv count: 4 |total Time:3.804028 |compute Time:0.000008 |commuTime:3.371201|IO Time:0.000000
rank:191 |send count:5 | recv count: 5 |total Time:3.795863 |compute Time:0.000012 |commuTime:2.922513|IO Time:0.000000
rank:99 |send count:4 | recv count: 4 |total Time:3.794270 |compute Time:0.000011 |commuTime:3.344551|IO Time:0.000000
rank:197 |send count:6 | recv count: 7 |total Time:3.802440 |compute Time:0.000006 |commuTime:2.895219|IO Time:0.000000
